num_generations,population_size,initial_temp,min_mutation_rate,max_mutation_rate,initial_truncation_rate,min_truncation_rate,k,best_cost,mean_cost,max_cost,total_time
100,100,100.0,0.01,0.3,0.7,0.1,0.01,2046.0,2113.7,2622.0,0.428
100,500,100.0,0.01,0.3,0.7,0.1,0.01,2000.0,2119.836,2864.0,0.385
100,1000,100.0,0.01,0.3,0.7,0.1,0.01,2010.0,2232.903,2887.0,0.758
500,100,100.0,0.01,0.3,0.7,0.1,0.01,1557.0,1557.0,1557.0,0.093
500,500,100.0,0.01,0.3,0.7,0.1,0.01,1331.0,1410.652,2700.0,0.294
500,1000,100.0,0.01,0.3,0.7,0.1,0.01,1317.0,1349.101,1772.0,0.418
1000,100,100.0,0.01,0.3,0.7,0.1,0.01,1455.0,1466.16,1783.0,0.136
1000,500,100.0,0.01,0.3,0.7,0.1,0.01,1217.0,1217.334,1277.0,0.442
1000,1000,100.0,0.01,0.3,0.7,0.1,0.01,1222.0,1222.214,1279.0,0.744
5000,100,100.0,0.01,0.3,0.7,0.1,0.01,1245.0,1245.0,1245.0,0.697
5000,500,100.0,0.01,0.3,0.7,0.1,0.01,1122.0,1122.196,1159.0,2.254
5000,1000,100.0,0.01,0.3,0.7,0.1,0.01,1133.0,1133.496,1199.0,3.8
100,100,100.0,0.05,0.3,0.7,0.1,0.01,2165.0,2256.09,3065.0,0.013
100,500,100.0,0.05,0.3,0.7,0.1,0.01,2074.0,2198.542,2785.0,0.05
100,1000,100.0,0.05,0.3,0.7,0.1,0.01,2100.0,2296.471,3181.0,0.086
500,100,100.0,0.05,0.3,0.7,0.1,0.01,1450.0,1475.47,2051.0,0.068
500,500,100.0,0.05,0.3,0.7,0.1,0.01,1297.0,1298.174,1362.0,0.225
500,1000,100.0,0.05,0.3,0.7,0.1,0.01,1291.0,1363.781,2257.0,0.39
1000,100,100.0,0.05,0.3,0.7,0.1,0.01,1288.0,1325.09,1981.0,0.139
1000,500,100.0,0.05,0.3,0.7,0.1,0.01,1173.0,1174.446,1252.0,0.458
1000,1000,100.0,0.05,0.3,0.7,0.1,0.01,1140.0,1149.709,1585.0,0.749
5000,100,100.0,0.05,0.3,0.7,0.1,0.01,1140.0,1140.81,1184.0,0.657
